ckyc_no,customer_id,product,partner,status,match_flag,remarks
CKYC000001,CUST000001,Fintech Partnership,Partner-Alpha,Completed,Y,
CKYC000002,CUST000002,BranchLed,Partner-Beta,Manually Verified by Ops,,Ops manual review
CKYC000003,CUST000003,Embedded Finance,Partner-Beta,Completed,Y,
CKYC000005,CUST000005,WSL,Partner-Alpha,Mismatch,N,Name mismatch
CKYC000006,CUST000006,WSL,Partner-Delta,Completed,Y,
CKYC000007,CUST000007,Fintech Partnership,Partner-Alpha,Mismatch,N,Name mismatch
CKYC000008,CUST000008,Fintech Partnership,Partner-Beta,Pending,,
CKYC000009,CUST000009,Embedded Finance,Partner-Epsilon,Under Review,,
CKYC000010,CUST000010,WSL,Partner-Alpha,Completed,Y,
CKYC000011,CUST000011,WSL,Partner-Beta,Completed,Y,
CKYC000014,CUST000014,WSL,Partner-Gamma,Completed,Y,
CKYC000015,CUST000015,Fintech Partnership,Partner-Beta,Pending,,
CKYC000017,CUST000017,BranchLed,Partner-Beta,Completed,Y,
CKYC000018,CUST000018,Embedded Finance,Partner-Gamma,Completed,Y,
CKYC000019,CUST000019,Fintech Partnership,Partner-Alpha,Completed,Y,
CKYC000021,CUST000021,BranchLed,Partner-Gamma,Pending,,
CKYC000022,CUST000022,WSL,Partner-Gamma,Completed,Y,
CKYC000024,CUST000024,Partner Reporting,Partner-Epsilon,Completed,Y,
CKYC000025,CUST000025,Fintech Partnership,Partner-Delta,,,
CKYC000026,CUST000026,Fintech Partnership,Partner-Epsilon,Completed,Y,
CKYC000029,CUST000029,WSL,Partner-Beta,Completed,Y,
CKYC000030,CUST000030,Fintech Partnership,Partner-Alpha,Completed,Y,
CKYC000031,CUST000031,Embedded Finance,Partner-Gamma,Under Review,,
CKYC000033,CUST000033,Fintech Partnership,Partner-Delta,Manually Verified by Ops,,Ops manual review
CKYC000035,CUST000035,BranchLed,Partner-Beta,Pending,,
CKYC000036,CUST000036,BranchLed,Partner-Gamma,Under Review,,
CKYC000038,CUST000038,BranchLed,In-House,Completed,Y,
CKYC000040,CUST000040,Embedded Finance,Partner-Epsilon,Completed,Y,
CKYC000041,CUST000041,Embedded Finance,Partner-Beta,,,
CKYC000042,CUST000042,Partner Reporting,Partner-Delta,Pending,,
CKYC000043,CUST000043,BranchLed,In-House,Completed,Y,
CKYC000044,CUST000044,WSL,Partner-Beta,Completed,Y,
CKYC000047,CUST000047,BranchLed,Partner-Delta,Completed,Y,
CKYC000048,CUST000048,BranchLed,Partner-Alpha,Pending,,
CKYC000050,CUST000050,BranchLed,Partner-Beta,Manually Verified by Ops,,Ops manual review
CKYC000051,CUST000051,Partner Reporting,Partner-Delta,Completed,Y,
CKYC000054,CUST000054,Embedded Finance,In-House,,,
CKYC000055,CUST000055,WSL,Partner-Epsilon,Completed,Y,
CKYC000056,CUST000056,BranchLed,In-House,Pending,,
CKYC000058,CUST000058,WSL,Partner-Delta,Completed,Y,
CKYC000059,CUST000059,BranchLed,Partner-Beta,Mismatch,N,Name mismatch
CKYC000061,CUST000061,Partner Reporting,Partner-Alpha,Completed,Y,
CKYC000062,CUST000062,Fintech Partnership,Partner-Alpha,,,
CKYC000063,CUST000063,Embedded Finance,In-House,Completed,Y,
CKYC000064,CUST000064,Embedded Finance,In-House,Mismatch,N,Name mismatch
CKYC000065,CUST000065,Partner Reporting,Partner-Epsilon,Completed,Y,
CKYC000066,CUST000066,Fintech Partnership,Partner-Delta,Completed,Y,
CKYC000067,CUST000067,Partner Reporting,Partner-Epsilon,Completed,Y,
CKYC000068,CUST000068,Partner Reporting,Partner-Epsilon,Mismatch,N,Name mismatch
CKYC000070,CUST000070,Fintech Partnership,In-House,Completed,Y,
CKYC000071,CUST000071,Fintech Partnership,In-House,Under Review,,
CKYC000072,CUST000072,WSL,Partner-Gamma,,,
CKYC000073,CUST000073,BranchLed,Partner-Alpha,Under Review,,
CKYC000075,CUST000075,Embedded Finance,Partner-Delta,Completed,Y,
CKYC000077,CUST000077,BranchLed,Partner-Epsilon,Mismatch,N,Name mismatch
CKYC000078,CUST000078,Embedded Finance,Partner-Epsilon,Completed,Y,
CKYC000079,CUST000079,Fintech Partnership,In-House,Manually Verified by Ops,,Ops manual review
CKYC000081,CUST000081,WSL,Partner-Epsilon,Under Review,,
CKYC000084,CUST000084,WSL,Partner-Epsilon,Completed,Y,
CKYC000085,CUST000085,Fintech Partnership,Partner-Epsilon,Completed,Y,
CKYC000087,CUST000087,Fintech Partnership,Partner-Alpha,,,
CKYC000089,CUST000089,Embedded Finance,Partner-Alpha,,,
CKYC000093,CUST000093,WSL,Partner-Beta,Completed,Y,
CKYC000095,CUST000095,Partner Reporting,Partner-Epsilon,Completed,Y,
CKYC000096,CUST000096,Embedded Finance,Partner-Gamma,,,
CKYC000097,CUST000097,WSL,Partner-Epsilon,Under Review,,
CKYC000098,CUST000098,Partner Reporting,Partner-Beta,Completed,Y,
