ckyc_no,customer_id,product,partner,status,match_flag,remarks
CKYC000001,CUST000001,Fintech Partnership,Partner-Alpha,Completed,Y,
CKYC000003,CUST000003,Embedded Finance,Partner-Beta,Completed,Y,
CKYC000004,CUST000004,Fintech Partnership,In-House,,,Reported manually by Ops team
CKYC000006,CUST000006,WSL,Partner-Delta,Completed,Y,
CKYC000007,CUST000007,Fintech Partnership,Partner-Alpha,Issue,N,
CKYC000009,CUST000009,Embedded Finance,Partner-Epsilon,Under Review,,
CKYC000011,CUST000011,WSL,Partner-Beta,Completed,Y,
CKYC000012,CUST000012,WSL,Partner-Delta,,,
CKYC000013,CUST000013,Embedded Finance,Partner-Delta,,,Reported manually by Ops team
CKYC000014,CUST000014,WSL,Partner-Gamma,Completed,Y,
CKYC000016,CUST000016,Partner Reporting,Partner-Gamma,,,
CKYC000017,CUST000017,BranchLed,Partner-Beta,Completed,Y,
CKYC000018,CUST000018,Embedded Finance,Partner-Gamma,Completed,Y,
CKYC000019,CUST000019,Fintech Partnership,Partner-Alpha,Completed,Y,
CKYC000020,CUST000020,Partner Reporting,Partner-Alpha,,,Reported manually by Ops team
CKYC000022,CUST000022,WSL,Partner-Gamma,Completed,Y,
CKYC000023,CUST000023,Fintech Partnership,In-House,Completed,Y,
CKYC000024,CUST000024,Partner Reporting,Partner-Epsilon,Completed,Y,
CKYC000026,CUST000026,Fintech Partnership,Partner-Epsilon,Completed,Y,
CKYC000027,CUST000027,BranchLed,In-House,In Progress,,
CKYC000028,CUST000028,WSL,Partner-Gamma,In Progress,,
CKYC000029,CUST000029,WSL,Partner-Beta,Completed,Y,
CKYC000030,CUST000030,Fintech Partnership,Partner-Alpha,Completed,Y,
CKYC000031,CUST000031,Embedded Finance,Partner-Gamma,Under Review,,
CKYC000032,CUST000032,Fintech Partnership,Partner-Beta,In Progress,,
CKYC000034,CUST000034,BranchLed,Partner-Delta,,,
CKYC000036,CUST000036,BranchLed,Partner-Gamma,Under Review,,
CKYC000037,CUST000037,Embedded Finance,In-House,In Progress,,
CKYC000038,CUST000038,BranchLed,In-House,Completed,Y,
CKYC000039,CUST000039,Fintech Partnership,Partner-Epsilon,,,
CKYC000040,CUST000040,Embedded Finance,Partner-Epsilon,Completed,Y,
CKYC000043,CUST000043,BranchLed,In-House,Completed,Y,
CKYC000044,CUST000044,WSL,Partner-Beta,Completed,Y,
CKYC000045,CUST000045,BranchLed,Partner-Alpha,,,
CKYC000046,CUST000046,Embedded Finance,Partner-Alpha,Completed,Y,
CKYC000049,CUST000049,Embedded Finance,Partner-Epsilon,Completed,Y,
CKYC000051,CUST000051,Partner Reporting,Partner-Delta,Completed,Y,
CKYC000052,CUST000052,Partner Reporting,Partner-Beta,Completed,Y,
CKYC000053,CUST000053,BranchLed,Partner-Beta,Completed,Y,
CKYC000055,CUST000055,WSL,Partner-Epsilon,Completed,Y,
CKYC000058,CUST000058,WSL,Partner-Delta,Completed,Y,
CKYC000060,CUST000060,Embedded Finance,Partner-Epsilon,In Progress,,
CKYC000061,CUST000061,Partner Reporting,Partner-Alpha,Completed,Y,
CKYC000063,CUST000063,Embedded Finance,In-House,Completed,Y,
CKYC000065,CUST000065,Partner Reporting,Partner-Epsilon,Completed,Y,
CKYC000067,CUST000067,Partner Reporting,Partner-Epsilon,Completed,Y,
CKYC000069,CUST000069,BranchLed,Partner-Epsilon,,,Reported manually by Ops team
CKYC000070,CUST000070,Fintech Partnership,In-House,Completed,Y,
CKYC000071,CUST000071,Fintech Partnership,In-House,Under Review,,
